,time,moving,distance,gap_distance,watts,watts_calc,heartrate,cadence,velocity_smooth,pace,gap,lat,lng,temp,altitude,altitude_smooth,grade_smooth,distance_calc(m),gps_delta(m),weight_bike_rider_50,weight_bike_rider_60,weight_bike_rider_70,weight_bike_rider_80,weight_bike_rider_90,weight_bike_rider_100,weight_bike_rider_110,weight_bike_rider_120,speed_from_sensor(m/s),speed_from_gps(m/s),wind_resistance_sensor(N),wind_resistance_gps(N),accel_sensor(m2/s),accel_gps(m2/s)
0,0,  false,2.2,2.2,177,0,100,20,0.0,0.17873941674506116,0.17061611374407584,51.230599,-0.334304,15,90.0,90.72,-6.3,0.0,0.0,50,60,70,80,90,100,110,120,0.0,0.0,0.0,0.0,0.0,0.0
1,1,   true,5.0,4.8,252,406,102,31,0.0,0.17873941674506116,0.17061611374407584,51.230578,-0.334281,15,90.2,90.73586206896552,-3.8,2.8314925309150247,2.8314925309150247,50,60,70,80,90,100,110,120,2.8,2.8314925309150247,2.6439450576,2.703754181415723,2.8,2.8314925309150247
2,2,   true,8.6,8.2,240,0,104,39,3.2,0.17873941674506116,0.17061611374407584,51.230546000000004,-0.334273,15,89.6,90.74057471264366,-2.6,6.4330670786868716,3.6015745477718473,50,60,70,80,90,100,110,120,3.5999999999999996,3.601574547771847,4.370603054399999,4.374427070092038,0.7999999999999998,0.7700820168568221
3,3,   true,12.7,12.2,377,67,106,42,3.5,0.17873941674506116,0.17061611374407584,51.230509999999995,-0.334284,15,89.6,90.7535791826309,-1.1,10.508699495765716,4.075632417078845,50,60,70,80,90,100,110,120,4.1,4.075632417078845,5.6689689309,5.601784263270352,0.5,0.4740578693069981
4,4,   true,17.5,17.3,428,93,109,48,3.8,0.17873941674506116,0.17061611374407584,51.230469,-0.334308,15,89.6,90.77055565379706,2.1,15.364312028020098,4.855612532254382,50,60,70,80,90,100,110,120,4.800000000000001,4.855612532254382,7.769960985600003,7.9510486484830665,0.7000000000000011,0.7799801151755368
5,5,   true,22.4,22.5,360,368,111,53,4.0,0.17873941674506116,0.17061611374407584,51.230429,-0.334335,15,90.0,90.7927963781642,2.0,20.193105369163185,4.828793341143086,50,60,70,80,90,100,110,120,4.899999999999999,4.828793341143086,8.097081738899996,7.863458548748978,0.09999999999999787,-0.026819191111295382
6,6,   true,27.4,27.7,359,47,113,55,4.5,0.17873941674506116,0.17061611374407584,51.230385,-0.334355,15,90.0,90.814063562236,1.9,25.28000970626174,5.086904337098556,50,60,70,80,90,100,110,120,5.0,5.086904337098556,8.430947250000001,8.726568545984287,0.10000000000000142,0.2581109959554695
7,7,   true,32.9,33.2,409,89,115,57,4.9,0.17873941674506116,0.17061611374407584,51.230335,-0.334364,15,90.0,90.835131703913,0.0,30.874961534636633,5.5949518283748905,50,60,70,80,90,100,110,120,5.5,5.594951828374892,10.2014461725,10.556721555414041,0.5,0.5080474912763364
8,8,   true,38.6,39.0,325,69,117,61,5.2,0.17873941674506116,0.17061611374407584,51.230284000000005,-0.334366,15,90.0,90.85648070650852,0.9,36.547612389037084,5.672650854400453,50,60,70,80,90,100,110,120,5.700000000000003,5.672650854400452,10.956859046100012,10.851967174898414,0.20000000000000284,0.07769902602555945
9,9,   true,44.4,44.9,309,62,119,63,5.4,0.17873941674506116,0.17061611374407584,51.230232,-0.33437,15,90.0,90.87845168347671,0.9,42.336452592670675,5.788840203633591,50,60,70,80,90,100,110,120,5.799999999999997,5.78884020363359,11.34468261959999,11.301067947881112,0.09999999999999432,0.11618934923313873
10,10,   true,50.3,51.0,335,226,120,64,5.6,0.17391304347826084,0.16520894071914474,51.230179,-0.334379,15,90.2,90.90222880316065,1.7,48.263008161356474,5.926555568685797,50,60,70,80,90,100,110,120,5.899999999999999,5.926555568685799,11.739250950899995,11.845164189088438,0.10000000000000142,0.13771536505220894
11,11,   true,56.3,57.5,332,67,123,65,5.8,0.1680672268907563,0.15640273704789834,51.230125,-0.334388,15,90.2,90.92616587658148,2.4,54.30014681901247,6.037138657655991,50,60,70,80,90,100,110,120,6.0,6.037138657655994,12.140564040000001,12.291323935984742,0.10000000000000142,0.11058308897019486
12,12,   true,62.6,64.2,335,252,125,67,5.9,0.1650485436893204,0.1532567049808429,51.230069,-0.334399,15,90.4,90.95150354419485,2.4,60.57399126532999,6.273844446317519,50,60,70,80,90,100,110,120,6.300000000000004,6.2738444463175185,13.38497185410002,13.274062451851405,0.30000000000000426,0.23670578866152425
