,time,timer_time,moving,distance,gap_distance,watts,watts_calc,cadence,velocity_smooth,pace,gap,lat,lng,temp,altitude,altitude_smooth,grade_smooth,distance_calc(m),gps_delta(m),weight_bike_rider_50,weight_bike_rider_60,weight_bike_rider_70,weight_bike_rider_80,weight_bike_rider_90,weight_bike_rider_100,weight_bike_rider_110,weight_bike_rider_120,speed_from_sensor(m/s),speed_from_gps(m/s),wind_resistance_sensor(N),wind_resistance_gps(N),accel_sensor(m2/s),accel_gps(m2/s)
0,0,0,  false,2.8,2.8,   189,0,57,0.0,0.2330097087378641,0.1958863858961802,51.365631,-2.372439,26,124.8,128.21333333333334,13.1,0.0,0.0,50,60,70,80,90,100,110,120,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,   true,5.6,7.1,   296,478,57,0.0,0.2330097087378641,0.1958863858961802,51.365621000000004,-2.372475,26,125.2,128.27908045977009,11.1,2.7354740167325864,2.7354740167325864,50,60,70,80,90,100,110,120,2.8,2.7354740167325864,2.6439450576,2.52348978602275,2.8,2.7354740167325864
2,2,2,   true,8.9,11.9,   296,322,52,3.1,0.2330097087378641,0.1958863858961802,51.36561,-2.37252,26,125.6,128.3431964969896,10.1,6.090480092221955,3.3550060754893685,50,60,70,80,90,100,110,120,3.3000000000000007,3.3550060754893685,3.6725206221000017,3.7959718688194934,0.5000000000000009,0.6195320587567821
3,3,3,   true,11.8,15.9,   352,121,57,3.0,0.2330097087378641,0.1958863858961802,51.3656,-2.372558,26,125.8,128.40369366903852,8.2,8.953371365564802,2.8628912733428464,50,60,70,80,90,100,110,120,2.9000000000000004,2.8628912733428473,2.836170654900001,2.7640511325624675,-0.40000000000000036,-0.49211480214652115
4,4,4,   true,14.7,19.7,   385,149,57,3.0,0.2330097087378641,0.1958863858961802,51.365589,-2.3725959999999997,26,126.0,128.46295493523078,7.9,11.861257226967872,2.90788586140307,50,60,70,80,90,100,110,120,2.8999999999999986,2.90788586140307,2.8361706548999974,2.8516162119589556,-1.7763568394002505e-15,0.04499458806022272
5,5,5,   true,17.8,24.0,   385,164,59,3.0,0.2330097087378641,0.1958863858961802,51.365579,-2.3726380000000002,26,126.2,128.521795779359,8.8,14.981909949757393,3.120652722789521,50,60,70,80,90,100,110,120,3.1000000000000014,3.1206527227895204,3.240856122900003,3.2841822267184724,0.20000000000000284,0.2127668613864504
6,6,6,   true,21.5,29.0,   360,333,59,3.2,0.2330097087378641,0.1958863858961802,51.365565999999994,-2.372686,26,126.6,128.5817773346887,8.2,18.614303443641848,3.632393493884454,50,60,70,80,90,100,110,120,3.6999999999999993,3.6323934938844555,4.616786714099999,4.4496119884801555,0.5999999999999979,0.5117407710949351
7,7,7,   true,25.4,34.4,   360,308,57,3.3,0.2330097087378641,0.1958863858961802,51.365553000000006,-2.372738,26,127.0,128.64166386350476,8.8,22.503029661019276,3.8887262173774286,50,60,70,80,90,100,110,120,3.8999999999999986,3.888726217377428,5.129388306899997,5.0997759852413855,0.1999999999999993,0.25633272349297265
8,8,8,   true,29.4,39.6,   360,166,57,3.5,0.2330097087378641,0.1958863858961802,51.365538,-2.372791,26,127.2,128.69966080796382,7.3,26.54291528057048,4.039885619551202,50,60,70,80,90,100,110,120,4.0,4.039885619551203,5.395806240000001,5.503950276592673,0.10000000000000142,0.151159402173775
9,9,9,   true,33.7,45.1,   360,320,57,3.8,0.2330097087378641,0.1958863858961802,51.365520000000004,-2.372846,26,127.6,128.7573137747865,7.0,30.854042897218154,4.311127616647675,50,60,70,80,90,100,110,120,4.300000000000004,4.311127616647674,6.235528586100013,6.267843168241987,0.30000000000000426,0.271241997096471
10,10,10,   true,37.9,50.4,   360,155,61,4.0,0.2330097087378641,0.1958863858961802,51.365505,-2.3729,26,127.8,128.81301252253314,6.7,34.95726241221671,4.103219514998553,50,60,70,80,90,100,110,120,4.199999999999996,4.103219514998553,5.948876379599989,5.677875514512557,-0.10000000000000853,-0.20790810164912088
11,11,11,   true,42.6,56.2,   347,339,61,4.2,0.2330097087378641,0.1932367149758454,51.365491999999996,-2.372965,26,128.2,128.8680684965326,6.4,39.695732232599454,4.7384698203827496,50,60,70,80,90,100,110,120,4.700000000000003,4.738469820382747,7.449584990100011,7.57203479949874,0.5000000000000071,0.6352503053841936
12,12,12,   true,47.4,62.7,   347,177,61,4.4,0.2330097087378641,0.19083969465648853,51.365475,-2.3730290000000003,26,128.4,128.92095211645744,8.2,44.524300991956,4.828568759356542,50,60,70,80,90,100,110,120,4.799999999999997,4.828568759356543,7.769960985599992,7.862727124404457,0.09999999999999432,0.09009893897379584
13,13,13,   true,52.5,69.9,   347,332,62,4.6,0.22954091816367264,0.18849206349206352,51.365454,-2.373094,26,128.8,128.97281688124832,9.3,49.605267363084835,5.080966371128835,50,60,70,80,90,100,110,120,5.100000000000001,5.080966371128838,8.771557518900007,8.706207312551548,0.30000000000000426,0.25239761177229525
14,14,14,   true,57.4,77.2,   326,429,63,4.7,0.22637795275590555,0.1832208293153327,51.365434,-2.373157,26,129.4,129.02379575583174,10.4,54.511940033591934,4.906672670507098,50,60,70,80,90,100,110,120,4.899999999999999,4.906672670507099,8.097081738899996,8.119149472019421,-0.20000000000000284,-0.17429370062173888
15,15,15,   true,61.9,82.0,   319,408,63,4.8,0.2186878727634195,0.1773399014778325,51.365417,-2.373215,26,130.0,129.07230852109228,2.1,58.96020300998627,4.448262976394336,50,60,70,80,90,100,110,120,4.5,4.448262976394339,6.829067272500001,6.67294080169305,-0.3999999999999986,-0.4584096941127598
16,16,16,   true,66.6,86.3,   319,319,0,4.8,0.21505376344086025,0.1745877788554801,51.365401,-2.373278,26,130.4,129.11595423833896,-4.2,63.68196169203928,4.72175868205301,50,60,70,80,90,100,110,120,4.699999999999996,4.721758682053007,7.4495849900999875,7.518720461121687,0.19999999999999574,0.273495705658668
