,Unnamed: 0,time,timer_time,distance,gap_distance,watts,watts_calc,cadence,velocity_smooth,pace,gap,lat,lng,temp,altitude,altitude_smooth,grade_smooth,distance_calc(m),gps_delta(m),weight_bike_rider_50,weight_bike_rider_60,weight_bike_rider_70,weight_bike_rider_80,weight_bike_rider_90,weight_bike_rider_100,weight_bike_rider_110,weight_bike_rider_120,speed_from_sensor(m/s),speed_from_gps(m/s),wind_resistance_sensor(N),wind_resistance_gps(N),accel_sensor(m2/s),accel_gps(m2/s)
0,4.5,4.5,4.5,30.47,30.72,183.0,59.2,54.1,3.8600000000000003,0.17191977077363904,0.16520894071914477,50.8968317,-3.395939,12.0,63.64999999999999,65.0877096101318,0.75,24.925026439959954,4.979378229225594,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,4.970000000000001,4.979378229225594,9.25751731839,9.29367763330635,0.5599999999999994,0.559646886374594
1,9.5,9.5,9.5,59.535000000000004,61.220000000000006,166.75,126.95,57.05,4.914999999999999,0.1677687316250208,0.15718828518908048,50.89708315,-3.39604875,12.0,64.12499999999999,65.27598436797027,1.8800000000000001,53.963217988374275,5.559792326090083,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,5.5600000000000005,5.559792326090083,11.01385224951,11.012642085722614,0.325,0.3261601478607282
2,14.5,14.5,14.5,90.54333333333332,95.48666666666666,188.13333333333333,163.0,60.9,5.429999999999999,0.16448869395456028,0.15224079115120664,50.89733130000001,-3.396215666666667,12.0,65.10999999999999,65.51973866144968,2.426666666666667,84.95113550929214,5.841602255199069,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,5.843333333333334,5.841602255199069,11.967785827689998,11.959820884202212,0.20666666666666725,0.20920807108371473
3,19.5,19.5,19.5,121.48999999999998,128.935,199.225,143.05,61.875,5.584999999999998,0.16556234167297118,0.15597921280263397,50.89752465,-3.39648675,12.0,65.9225,65.84039047509182,1.9349999999999998,115.8554527032139,5.865259680027301,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,5.87,5.865259680027301,11.966380669814999,11.945993000841241,0.13999999999999985,0.13980628150504656
4,24.5,24.5,24.5,151.43599999999998,160.002,186.48,121.92,61.28,5.607999999999997,0.16380163034448722,0.1570070981406272,50.89771248000001,-3.3967151800000006,12.0,66.20400000000001,66.18892290700087,0.9439999999999996,145.76763596168246,5.889077713820908,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,5.892,5.889077713820909,12.032647915199998,12.021314574839927,0.14600000000000024,0.14817879345835194
5,29.5,29.5,29.5,183.67666666666665,192.78500000000003,171.33333333333334,122.46666666666667,60.766666666666666,6.001666666666665,0.15694911736796796,0.15140596261754888,50.89793435000001,-3.3967861166666666,12.0,66.26,66.42062397054647,0.7516666666666667,177.97622161176216,6.289468049383887,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,6.295000000000001,6.2894680493838875,13.916177737164999,13.889867144756836,0.14666666666666686,0.14540108989833697
6,34.5,34.5,34.5,219.01999999999998,228.47571428571433,176.25714285714287,122.77142857142857,64.01428571428572,6.39142857142857,0.15084257721242103,0.14616447162546933,50.898173085714305,-3.396719585714286,12.0,66.26285714285714,66.51624911761125,0.5800000000000001,213.2768667135862,6.63695177650926,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,6.642857142857143,6.636951776509261,15.600335730351425,15.571144837742109,0.1257142857142859,0.12728865744242138
7,39.5,39.5,39.5,256.60125,266.27,173.825,125.675,66.775,6.707499999999998,0.14588363012472236,0.1418125751334453,50.89841436250002,-3.3965468000000003,12.0,66.21374999999999,66.50413733274856,0.4812499999999999,250.80468079904372,6.926934932815646,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,6.9350000000000005,6.926934932815646,17.05041048050999,17.00744435706098,0.11499999999999914,0.11565487858816396
8,44.5,44.5,44.5,295.92999999999995,305.76666666666665,162.48888888888888,127.73333333333333,65.75555555555556,6.972222222222222,0.14275840026197648,0.1391995728473799,50.89865911111113,-3.3963007888888885,12.0,66.17555555555553,66.46134788000589,0.4177777777777778,290.07203832297813,7.152748075017748,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,7.162222222222224,7.152748075017748,18.181019242173328,18.129110679018048,0.09222222222222298,0.09148080875969021
9,49.5,49.5,49.5,334.47799999999995,344.448,168.36,120.96,62.59,6.879,0.14386874212855252,0.14061233659300026,50.89889673000003,-3.3960434799999994,12.0,66.14099999999998,66.40740664039241,0.40299999999999997,328.5647236635904,6.994581687714822,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,7.002000000000001,6.994581687714822,17.46399902880599,17.41986344037245,0.06699999999999932,0.06787106674223083
