,Unnamed: 0,time,distance,gap_distance,watts,watts_calc,cadence,velocity_smooth,pace,gap,lat,lng,temp,altitude,altitude_smooth,grade_smooth,distance_calc(m),gps_delta(m),weight_bike_rider_50,weight_bike_rider_60,weight_bike_rider_70,weight_bike_rider_80,weight_bike_rider_90,weight_bike_rider_100,weight_bike_rider_110,weight_bike_rider_120,speed_from_sensor(m/s),speed_from_gps(m/s),wind_resistance_sensor(N),wind_resistance_gps(N),accel_sensor(m2/s),accel_gps(m2/s)
0,1.0,1.0,7.966666666666666,9.5,270.3333333333333,295.0,52.333333333333336,1.3,0.22157996146435446,0.18793273986152328,51.365602333333335,-2.372705,19.0,123.0,125.9225177887247,9.500000000000002,3.932539721773941,2.5977185810054144,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,2.566666666666667,2.5977185810054144,3.3330344795000015,3.4162104731485137,1.2666666666666668,1.2628974402368882
1,2.5,2.5,13.649999999999999,17.066666666666666,305.8333333333333,256.3333333333333,54.333333333333336,2.5500000000000003,0.22157996146435446,0.18793273986152328,51.36557883333334,-2.3727778333333336,19.0,123.46666666666668,126.01075615022837,8.35,9.628663761983772,3.2192450831038673,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,3.2000000000000006,3.2192450831038664,4.1502742996,4.202478977758375,0.6833333333333335,0.6879653379728592
2,4.0,4.0,19.72222222222222,24.700000000000003,315.22222222222223,230.55555555555554,56.333333333333336,3.0444444444444443,0.2215799614643545,0.1879327398615233,51.365553444444444,-2.372855,19.0,123.86666666666666,126.09468756754637,7.466666666666667,15.69045524772605,3.5820542250189416,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,3.577777777777778,3.58205422501894,4.879457559533333,4.889889519948665,0.4999999999999995,0.49855526256099314
3,5.5,5.5,26.15833333333333,32.90833333333334,317.8333333333333,251.5,57.666666666666664,3.3833333333333333,0.22157996146435452,0.18802623873707627,51.365528250000004,-2.372938,19.0,124.3,126.17577203425283,7.5249999999999995,22.107364164446665,3.8211848048877624,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,3.8250000000000006,3.821184804887761,5.418007734425001,5.405200861815576,0.37499999999999994,0.3668466236566783
4,7.0,7.0,32.779999999999994,41.34,315.93333333333334,247.46666666666667,58.666666666666664,3.62,0.22093681230486348,0.18812105639957355,51.36550293333333,-2.3730239333333336,19.0,124.75999999999999,126.25357063652608,7.22,28.711947779220665,3.99512928939117,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,4.0,3.9951292893911687,5.82612178764,5.8095454655376635,0.32666666666666605,0.3250776578433042
5,8.5,8.5,39.627777777777766,49.72222222222222,313.27777777777777,252.44444444444446,59.333333333333336,3.816666666666667,0.21930768674431655,0.18713664087612747,51.36547755555555,-2.373113388888889,19.0,125.21111111111112,126.32570850627525,6.133333333333333,35.540988284113524,4.148575118440387,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,4.155555555555556,4.148575118440387,6.223912614333335,6.200013336548257,0.28333333333333377,0.28031385569025635
6,10.0,10.0,46.652380952380945,57.67619047619048,312.6190476190476,218.0,59.857142857142854,3.9761904761904767,0.21774979317212514,0.18540954519224986,51.36545152380953,-2.373205238095238,19.0,125.40000000000002,126.38895887851073,4.623809523809523,42.549487377315174,4.257457022995131,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,4.261904761904762,4.257457022995131,6.492471740385714,6.477057153969409,0.2285714285714284,0.22832766425208356
7,11.5,11.5,53.7125,65.52916666666667,316.0,206.75,60.25,4.083333333333334,0.2166331629298458,0.18386808744334107,51.365425125,-2.3732973333333334,19.0,125.55000000000003,126.44634453801928,4.5249999999999995,49.58963892049871,4.317539568306322,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,4.325,4.317539568306322,6.638808896225002,6.61385942478729,0.20000000000000043,0.1993056425824543
8,13.0,13.0,60.81481481481481,73.6962962962963,318.85185185185185,214.55555555555554,60.629629629629626,4.162962962962963,0.2158186613654522,0.18237123377603753,51.36539833333333,-2.3733898518518517,19.0,125.76296296296299,126.5039874494026,4.925925925925926,56.67505839990723,4.379665532639434,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,4.388888888888889,4.379665532639434,6.801089017922222,6.770135271778319,0.18518518518518515,0.1812057652266987
9,14.5,14.5,67.97666666666666,82.36333333333332,322.0,233.5,60.96666666666667,4.236666666666667,0.21556237104837528,0.1803761648656674,51.365371700000004,-2.3734833666666666,19.0,126.08666666666669,126.56792325801153,5.413333333333332,63.816488501507905,4.428641558060079,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,4.4366666666666665,4.428641558060078,6.92023391543,6.893345624859522,0.15666666666666626,0.15613631466618658
10,16.0,16.0,75.07575757575756,91.15454545454544,325.09090909090907,236.21212121212122,61.24242424242424,4.278787878787879,0.21569640414554545,0.1782994811303316,51.36534545454546,-2.3735762121212125,19.0,126.45454545454548,126.6471898538778,5.657575757575756,70.89735979927941,4.430095872698412,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,4.4393939393939394,4.430095872698411,6.9030552217,6.872431293325971,0.13939393939393918,0.1372588665478083
11,17.5,17.5,82.13055555555553,100.00555555555553,329.80555555555554,242.88888888888889,61.388888888888886,4.300000000000001,0.21611883848632726,0.17678172808559456,51.365319750000005,-2.3736687499999998,19.0,126.85555555555558,126.75185266116338,5.8472222222222205,77.93436360934308,4.445011786045623,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,4.452777777777778,4.445011786045622,6.922650786975001,6.896952793716093,0.130555555555556,0.13116089722049729
12,19.0,19.0,89.15641025641024,108.9051282051282,332.71794871794873,243.89743589743588,61.43589743589744,4.32051282051282,0.21689178686005434,0.17604743193683423,51.36529425641026,-2.3737610256410253,19.0,127.27692307692311,126.88170175433893,6.035897435897434,84.94493364758395,4.4459889733674975,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,4.453846153846154,4.4459889733674975,6.908447883530769,6.882624594992548,0.11025641025641053,0.10896924298583524
13,20.5,20.5,96.09761904761903,117.82619047619045,335.8095238095238,251.76190476190476,61.523809523809526,4.326190476190477,0.2177985061438775,0.17554708517158088,51.36526945238095,-2.3738524285714284,19.0,127.72380952380956,127.03691933457768,6.269047619047618,91.87301156098106,4.434238389406684,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,4.440476190476191,4.4342383894066835,6.8537177563642855,6.832587722727993,0.09999999999999971,0.10257038800137878
14,22.0,22.0,102.97333333333331,126.70666666666665,339.3777777777778,249.2,61.55555555555556,4.324444444444445,0.21852566379218663,0.17502082525306323,51.365245400000006,-2.373943244444444,19.0,128.1777777777778,127.21803639144066,6.357777777777779,98.73446998231442,4.42105761536688,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,4.428888888888889,4.4210576153668795,6.806434862993334,6.780844997011448,0.09111111111111096,0.09161234404229565
