,timestamp(s),position_lat(semicircles),position_long(semicircles),gps_accuracy(m),altitude(m),grade(%),distance(m),cadence(rpm),speed(m/s),left_right_balance,temperature(C),watts,acceleration,position_lat(degrees),position_long(degrees),distance_calc(m),gps_delta(m),weight_bike_rider_50,weight_bike_rider_60,weight_bike_rider_70,weight_bike_rider_80,weight_bike_rider_90,weight_bike_rider_100,weight_bike_rider_110,weight_bike_rider_120,speed_from_sensor(m/s),speed_from_gps(m/s),wind_resistance_sensor(N),wind_resistance_gps(N),accel_sensor(m2/s),accel_gps(m2/s)
0,18-05-2019 10.51,611263106,-3918939,3,98,0,0,67,8.907,0,20,0,0,51.23548167,-0.328481672,0,0,50,60,70,80,90,100,110,120,0,0,0,0,0,0
1,18-05-2019 10.51,611263629,-3917690,3,98,0,11.32,67,8.846,0,20,0,-0.0305,51.23552551,-0.328376982,8.768428889,8.768428889,50,60,70,80,90,100,110,120,5.66,4.384214444,10.80361815,6.482162895,2.83,2.192107222
2,18-05-2019 10.51,611263685,-3917573,3,98,0,19.7,67,8.765,0,20,0,-0.081,51.2355302,-0.328367176,9.62783766,0.859408771,50,60,70,80,90,100,110,120,8.38,0.859408771,23.68232848,0.24907832,2.72,-3.524805673
3,18-05-2019 10.51,611263741,-3917456,3,98,0,28.08,67,8.684,0,20,0,-0.081,51.23553489,-0.328357369,10.48724638,0.859408716,50,60,70,80,90,100,110,120,8.38,0.859408716,23.68232848,0.249078288,0,-5.49E-08
4,18-05-2019 10.51,611263797,-3917338,3,98,0,36.46,69,8.603,0,20,0,-0.081,51.23553959,-0.328347478,11.35129845,0.864052073,50,60,70,80,90,100,110,120,8.38,0.864052073,23.68232848,0.251777082,3.55E-15,0.004643357
5,18-05-2019 10.51,611263853,-3917221,3,98,0,44.84,70,8.522,0,20,0,-0.081,51.23554428,-0.328337671,12.21070705,0.859408605,50,60,70,80,90,100,110,120,8.38,0.859408605,23.68232848,0.249078223,0,-0.004643468
6,18-05-2019 10.51,611263909,-3917103,3,98,0,53.22,71,8.441,0,20,0,-0.081,51.23554897,-0.328327781,13.07475902,0.864051962,50,60,70,80,90,100,110,120,8.38,0.864051962,23.68232848,0.251777017,-7.11E-15,0.004643356
7,18-05-2019 10.51,611263964,-3916986,3,98,0,61.6,70,8.36,0,20,0,-0.081,51.23555358,-0.328317974,13.92853927,0.85378025,50,60,70,80,90,100,110,120,8.38,0.85378025,23.68232848,0.245826429,7.11E-15,-0.010271711
8,18-05-2019 10.51,611264020,-3916868,3,98,0,69.99,69,8.279,0,20,0,-0.081,51.23555828,-0.328308083,14.79259112,0.86405185,50,60,70,80,90,100,110,120,8.39,0.86405185,23.73888328,0.251776952,0.01,0.0102716
9,18-05-2019 10.51,611264076,-3916751,3,98,0,78.37,58,8.198,0,20,0,-0.081,51.23556297,-0.328298276,15.6519995,0.859408385,50,60,70,80,90,100,110,120,8.38,0.859408385,23.68232848,0.249078096,-0.01,-0.004643465
10,18-05-2019 10.51,611264132,-3916634,3,98,0,86.75,26,8.117,0,20,0,-0.081,51.23556767,-0.328288469,16.51140783,0.859408329,50,60,70,80,90,100,110,120,8.38,0.859408329,23.68232848,0.249078064,-1.42E-14,-5.58E-08
11,18-05-2019 10.51,611265123,-3913991,3,98,0,95.1,3,7.999,0,20,0,-0.118,51.23565073,-0.328066936,34.48899702,17.97758919,50,60,70,80,90,100,110,120,8.35,17.97758919,23.51306879,108.9931658,-0.03,17.11818086
12,18-05-2019 10.51,611268982,-3903692,3,98,0,103.4,0,7.617,0,20,0,-0.382,51.23597419,-0.327203684,104.5295615,70.04056451,50,60,70,80,90,100,110,120,8.3,70.04056451,23.23231824,1654.381401,-0.05,52.06297532
13,18-05-2019 10.51,611269365,-3902881,3,98,0,110.96,0,6.767,0,20,0,-0.85,51.23600629,-0.327135706,110.4574763,5.927914744,50,60,70,80,90,100,110,120,7.56,5.927914744,19.27435947,11.85059787,-0.74,-64.11264977
14,18-05-2019 10.51,611269692,-3902362,3,98,0,115.15,0,6.046,0,20,0,-0.721,51.2360337,-0.327092204,114.754137,4.296660753,50,60,70,80,90,100,110,120,4.19,4.296660753,5.920582121,6.225847708,-3.37,-1.631253991
