,Unnamed: 0,position_lat(semicircles),position_long(semicircles),gps_accuracy(m),altitude(m),grade(%),distance(m),cadence(rpm),speed(m/s),left_right_balance,temperature(C),watts,acceleration,position_lat(degrees),position_long(degrees),distance_calc(m),gps_delta(m),weight_bike_rider_50,weight_bike_rider_60,weight_bike_rider_70,weight_bike_rider_80,weight_bike_rider_90,weight_bike_rider_100,weight_bike_rider_110,weight_bike_rider_120,speed_from_sensor(m/s),speed_from_gps(m/s),wind_resistance_sensor(N),wind_resistance_gps(N),accel_sensor(m2/s),accel_gps(m2/s)
0,1,613957575.3,-3554976,2,15.66666667,2.606666667,7.106666667,86.66666667,5.386,46.33333333,17,331.6666667,0.135,51.46132948,-0.297974646,7.157642196,4.625945152,50,60,70,80,90,100,110,120,1.786666667,3.36009663,3.229569895,6.058391973,1.786666667,1.461323846
1,2.5,613956596.7,-3554311.667,2,15.93333333,2.615,14.02666667,91.16666667,5.692,48.66666667,17,314.8333333,0.1435,51.46124745,-0.297918962,17.06263162,5.590026042,50,60,70,80,90,100,110,120,3.635,4.957101781,7.197089361,10.27332274,0.91,0.788572432
2,4,613955652.1,-3553634.556,2,16.24444444,2.884444444,22.57,93.11111111,5.861111111,49.44444444,17,305.5555556,0.102444444,51.46116828,-0.297862208,26.71071819,5.792463077,50,60,70,80,90,100,110,120,4.591111111,5.370513569,9.767968083,11.16774452,0.901111111,0.471136594
3,5.5,613954729.2,-3552947.833,2,16.66666667,3.370833333,31.735,93.75,5.935333333,49.83333333,17,299.1666667,0.075833333,51.46109092,-0.297804647,36.19701493,5.895583918,50,60,70,80,90,100,110,120,5.02,5.579121787,10.67954271,11.6235638,0.525833333,0.342724599
4,7,613953816.9,-3552274.333,2,17.10666667,3.761333333,40.88533333,94.2,5.9886,50.4,17,295.0666667,0.064933333,51.46101445,-0.297748195,45.5586961,5.954145699,50,60,70,80,90,100,110,120,5.206,5.700975995,10.93588959,11.88333072,0.406,0.29939173
5,8.5,613952893.2,-3551601.389,2,17.53333333,3.786666667,50.07277778,95.05555556,6.045888889,50.55555556,17,293.3333333,0.062888889,51.46093703,-0.297691789,55.01563227,6.041427186,50,60,70,80,90,100,110,120,5.388333333,5.830452432,11.34406997,12.26196907,0.35,0.255594819
6,10,613951956.9,-3550930.667,2,17.96190476,3.827619048,59.65190476,96,6.107952381,50.61904762,17,293.7619048,0.058190476,51.46085854,-0.29763557,64.57474785,6.122241925,50,60,70,80,90,100,110,120,5.663809524,5.941406422,12.31002126,12.61363595,0.346190476,0.228497857
7,11.5,613951003,-3550262.583,2,18.39166667,3.945833333,69.29833333,95.58333333,6.164083333,50.66666667,17,291.5833333,0.054666667,51.4607786,-0.297579572,74.27698912,6.214960054,50,60,70,80,90,100,110,120,5.770416667,6.056728989,12.57810069,13.02368627,0.308333333,0.213183824
8,13,613950035.5,-3549588.704,2,18.82222222,3.995555556,79.07851852,95.33333333,6.208444444,50.81481481,17,289.5555556,0.046925926,51.4606975,-0.297523088,84.10980923,6.28245929,50,60,70,80,90,100,110,120,5.865925926,6.141809454,12.83146705,13.3207845,0.234074074,0.184382925
9,14.5,613949067.5,-3548919.633,2,19.25333333,4.031333333,88.799,94.93333333,6.2319,50.7,17,288,0.038933333,51.46061636,-0.297467007,93.93507222,6.286118745,50,60,70,80,90,100,110,120,5.908333333,6.159533893,12.88257396,13.33613965,0.209333333,0.144822134
10,16,613948110.5,-3548256.061,2,19.68484848,4.027575758,98.45393939,94.57575758,6.246666667,50.84848485,17,287.4545455,0.035030303,51.46053614,-0.297411387,103.6539531,6.274548497,50,60,70,80,90,100,110,120,5.940606061,6.159471358,12.91666084,13.28682768,0.19969697,0.132076233
11,17.5,613947157.8,-3547598.611,2,20.11666667,4.08,108.0836111,94.25,6.25975,50.75,17,286.4722222,0.031861111,51.46045629,-0.29735628,113.321713,6.272215266,50,60,70,80,90,100,110,120,5.978333333,6.16672789,12.99042788,13.27673596,0.180277778,0.11666237
